dataset,corruption,salt_ratio,method,rre_mean,rre_std,accuracy_mean,accuracy_std,nmi_mean,nmi_std
ORL,0.2,0.1,L21-NMF,0.209,0.000,0.588,0.013,0.744,0.013
ORL,0.2,0.1,L2-NMF,0.326,0.001,0.189,0.005,0.360,0.006
ORL,0.4,0.1,L21-NMF,0.267,0.000,0.417,0.014,0.602,0.009
ORL,0.4,0.1,L2-NMF,0.420,0.000,0.186,0.007,0.361,0.008
ORL,0.6,0.1,L21-NMF,0.324,0.000,0.304,0.010,0.503,0.006
ORL,0.6,0.1,L2-NMF,0.540,0.001,0.188,0.008,0.347,0.013
ORL,0.2,0.7,L21-NMF,0.232,0.000,0.412,0.020,0.601,0.016
ORL,0.2,0.7,L2-NMF,0.313,0.001,0.190,0.005,0.366,0.012
ORL,0.4,0.7,L21-NMF,0.288,0.001,0.204,0.009,0.404,0.014
ORL,0.4,0.7,L2-NMF,0.377,0.000,0.178,0.008,0.353,0.007
ORL,0.6,0.7,L21-NMF,0.334,0.001,0.257,0.009,0.485,0.011
ORL,0.6,0.7,L2-NMF,0.464,0.002,0.177,0.006,0.353,0.014
Extended YaleB,0.2,0.1,L21-NMF,0.199,0.000,0.194,0.006,0.251,0.011
Extended YaleB,0.2,0.1,L2-NMF,0.537,0.011,0.177,0.006,0.291,0.016
Extended YaleB,0.4,0.1,L21-NMF,0.260,0.000,0.141,0.006,0.179,0.004
Extended YaleB,0.4,0.1,L2-NMF,0.587,0.006,0.176,0.006,0.299,0.017
Extended YaleB,0.6,0.1,L21-NMF,0.337,0.000,0.091,0.004,0.096,0.002
Extended YaleB,0.6,0.1,L2-NMF,0.648,0.006,0.173,0.008,0.301,0.018
Extended YaleB,0.2,0.7,L21-NMF,0.223,0.001,0.223,0.005,0.301,0.007
Extended YaleB,0.2,0.7,L2-NMF,0.591,0.013,0.174,0.004,0.304,0.012
Extended YaleB,0.4,0.7,L21-NMF,0.290,0.001,0.158,0.004,0.208,0.006
Extended YaleB,0.4,0.7,L2-NMF,0.723,0.012,0.181,0.003,0.308,0.014
Extended YaleB,0.6,0.7,L21-NMF,0.371,0.002,0.122,0.004,0.142,0.007
Extended YaleB,0.6,0.7,L2-NMF,0.934,0.024,0.184,0.008,0.318,0.022
